Primary-general indicator,Candidate ID,Chamber Endorsed?,Main Street Endorsed?,Tea Party Endorsed?,House Freedom Support?,Koch Support?,Club for Growth Endorsed?,Susan B. Anthony Endorsed?,Right to Life Endorsed?,NRA Endorsed?,Great America Endorsed?,Bannon Endorsed?,Trump Endorsed?,Rep Party Support?,No Labels Support?,VoteVets Endorsed?,WFP Endorsed?,Indivisible Endorsed?,PCCC Endorsed?,Justice Dems Endorsed?,Our Revolution Endorsed?,Sanders Endorsed?,Warren Endorsed? ,Biden Endorsed?,Guns Sense Candidate?,Emily Endorsed?,Party Support?,Obama Alum?,STEM?,Self-Funder?,Elected Official?,LGBTQ?,Veteran?,Race,Won Primary,Primary %,Partisan Lean,General Status,Primary Runoff Status,Primary Status,Race Primary Election Date,Race Type,Office Type,District,State,Largest Donation Size
P2018,H8TX26124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,White,1,52.66,-31.629999,On the Ballot,0,1,3/6/18,Regular,Representative,U.S. House Texas District 26,TX,1000
P2018,H4CA24142,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78.37,0.0,On the Ballot,0,1,6/5/18,Regular,Representative,U.S. House California District 24,CA,5000
P2018,H8TX16083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,White,0,21.969999,35.419998,0,0,0,3/6/18,Regular,Representative,U.S. House Texas District 16,TX,2500
P2018,H8IA01094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,White,1,66.800003,-1.73,On the Ballot,0,1,6/5/18,Regular,Representative,U.S. House Iowa District 1,IA,5000
P2018,H8IL04159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Nonwhite,0,21.9,65.089996,0,0,0,3/20/18,Regular,Representative,U.S. House Illinois District 4,IL,5000
P2018,H8NY19173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,White,0,13.18,-6.079999900000002,0,0,0,6/26/18,Regular,Representative,U.S. House New York District 19,NY,5000
P2018,H6CA31134,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0.0,On the Ballot,0,1,6/5/18,Regular,Representative,U.S. House California District 31,CA,2700
P2018,H8CA45189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,White,0,13.06,-1.4299999,0,0,0,6/5/18,Regular,Representative,U.S. House California District 45,CA,110000
P2018,H8MI06163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,White,0,28.1,-9.1800003,0,0,0,8/7/18,Regular,Representative,U.S. House Michigan District 6,MI,6048
P2018,H8VA10122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,White,0,22.959999,4.6900001,0,0,0,6/12/18,Regular,Representative,U.S. House Virginia District 10,VA,117500
P2018,H8ID01124,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43.12,0.0,On the Ballot,0,1,5/15/18,Regular,Representative,U.S. House Idaho District 1,ID,363390
P2018,H8IL04134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Nonwhite,1,66.199997,65.089996,On the Ballot,0,1,3/20/18,Regular,Representative,U.S. House Illinois District 4,IL,5000
P2018,H8CA49090,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.34,0.0,0,0,0,6/5/18,Regular,Representative,U.S. House California District 49,CA,69561
P2018,H8OH10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67.019997,-8.4799995,On the Ballot,0,1,5/8/18,Regular,Representative,U.S. House Ohio District 10,OH,5000
